Order_ID,Order_Date,Delivery_Date,Expected_Delivery,Delivery_Status,Payment_Mode,Payment_Status,Month_Name,Month_Number,Quarter,Year,Calendar_YearMonth,Distributor_Code,Distributor_Name,City,Zone,Tier,Owner_Name,Phone,GST_Number,Credit_Limit,Years_Active,DS_ID,DS_Name,DS_Type,Beat_Name,Outlet_Name,Outlet_Type,Channel_Type,SKU_Code,SKU_Name,Sub_Category,Category,SBU,MRP,Cost_Price,Distributor_Price,Quantity,Discount_Pct,Unit_Selling_Price,Gross_Value,Net_Sales_Value,Margin_Value,Target_Value,Is_Return,Gross_Margin_Pct,Achievement_Pct
ORD000001,2024-01-14,,2024-01-17,Cancelled,UPI,Refunded,January,1,Q1,2024,2024-01,DT1003,MUTHTHU MARKETING,Madurai,South,Tier 1,Ganesh Selvam,9843045678,33FICTD1003M1Z7,150000,9,DS019,PAZHANIVEL,ROC Route Pace,KAVERIUR ROC,KUMARI PROVISION,Mini Market,Counter,BLOSOM-TLC200,BODY TALC 200G,BODY TALC,BODY TALC,PERSONAL CARE,155,100.75,134.85,27.4,5.1,127.97,4247.0,3506.38,745.83,4197.31,No,21.3,83.5
ORD000002,2024-01-23,2024-01-28,2024-01-26,Delivered,NEFT,Paid,January,1,Q1,2024,2024-01,DT1007,THIRUMARAN AGENCIES,Vellore,North,Tier 2,Anand Subramanian,9847089012,33FICTD1007M1Z1,75000,3,DS020,THANDAVAN,Common Pace Route,NILUR EAST GR,MEENA PROVISION,Hotel & Restaurant,Key Accounts,CLEANOZ-PWDR,POWDER HAND WASH 100G,HAND WASH,HAND WASH,PERSONAL CARE,82,53.3,71.34,39.6,6.9,66.42,3247.2,2630.23,519.55,3124.3,No,19.8,84.2
ORD000003,2024-01-02,2024-01-06,2024-01-05,Delivered,UPI,Paid,January,1,Q1,2024,2024-01,DT1014,VASANTHAM TRADERS,Nagercoil,South,Tier 3,Bharath Murugan,9854056789,33FICTD1014M1Z4,50000,4,DS005,BHARATH G,Grocery 2 Route,THUPUR ROUTE,VAANI GENERAL STORE,Beauty Counter,Counter,HELIX-AL500,ANTISEPTIC LIQUID 500ML,ANTISEPTIC,ANTISEPTIC,PERSONAL CARE,285,185.25,247.95,37.1,1.1,245.22,10573.5,9097.66,2224.88,10147.74,No,24.5,89.7
ORD000004,2024-01-07,,2024-01-10,In Transit,UPI,Pending,January,1,Q1,2024,2024-01,DT1004,SENTHOOR ENTERPRISES,Tiruchirappalli,Central,Tier 1,Ramesh Murugan,9844056789,33FICTD1004M1Z2,125000,6,DS014,SOUNDARARAJAN,Grocery 2 Route,THALIRUR BEAT,OVIYA SUPER STORE,Town Wholesale,Town Wholesale,PURIS-VALUE10,VALUE SACHET,BATH SOAP,BATH SOAP,PERSONAL CARE,13,8.45,11.31,2.5,1.8,11.11,32.5,27.77,6.64,29.27,No,23.9,94.9
ORD000005,2024-01-04,2024-01-09,2024-01-07,Delivered,UPI,Paid,January,1,Q1,2024,2024-01,DT1014,VASANTHAM TRADERS,Nagercoil,South,Tier 3,Bharath Murugan,9854056789,33FICTD1014M1Z4,50000,4,DS011,GOVINDASAMY,SWD Route,THUPUR ROUTE,SUBHA PROVISION,Town Wholesale,Town Wholesale,CLEANOZ-PWDR,POWDER HAND WASH 100G,HAND WASH,HAND WASH,PERSONAL CARE,82,53.3,71.34,12.4,3.7,68.7,1016.8,851.88,190.96,917.66,No,22.4,92.8
ORD000006,2024-01-11,2024-01-15,2024-01-14,Delivered,Cash,Paid,January,1,Q1,2024,2024-01,DT1014,VASANTHAM TRADERS,Nagercoil,South,Tier 3,Bharath Murugan,9854056789,33FICTD1014M1Z4,50000,4,DS005,BHARATH G,Grocery 2 Route,VETRIUR ROC B,YAMUNA TRADERS,Town Wholesale,Town Wholesale,SHINEZ-FC500,FLOOR CLEAN 500ML,FLOOR CLEANER,FLOOR CLEANER,HOME CARE,112,72.8,97.44,35.0,6.1,91.5,3920.0,3202.5,654.5,3447.18,No,20.4,92.9
ORD000007,2024-01-23,2024-01-26,2024-01-26,Delivered,Cheque,Paid,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,9842034567,33FICTD1002M1Z3,175000,5,DS006,LOGANATHAN,ROC Pace Route,MAZHALUR MAIN,NILA PROVISION,Counter Shop,Counter,ZESTO-SPORT-M,SPORT BLAST MEN 150ML,DEO & FRAGRANCE,DEO & FRAGRANCE,PERSONAL CARE,250,162.5,217.5,10.3,2.3,212.5,2575.0,2188.75,515.0,2602.44,No,23.5,84.1
ORD000008,2024-01-10,2024-01-13,2024-01-13,Delivered,Cash,Paid,January,1,Q1,2024,2024-01,DT1009,KAVITHA TRADERS,Tiruppur,West,Tier 2,Karthik Pillai,9849001234,33FICTD1009M1Z8,75000,4,DS014,SOUNDARARAJAN,Grocery 2 Route,MARUTUR BEAT,KUMARI PROVISION,Dual Outlet,Retail,SHINEZ-SD500,SURFACE DISINFECTANT 500ML,SURFACE CARE,SURFACE CARE,HOME CARE,185,120.25,160.95,33.9,2.0,157.73,6271.5,5347.05,1270.58,5722.0,No,23.8,93.4
ORD000009,2024-01-12,,2024-01-15,Cancelled,NEFT,Refunded,January,1,Q1,2024,2024-01,DT1013,MULLAI ENTERPRISES,Kanchipuram,North,Tier 3,Satheesh Kumar,9853045678,33FICTD1013M1Z7,50000,2,DS006,LOGANATHAN,ROC Pace Route,VENDUR ROUTE,KOTHAI SUPER STORE,Medical Shop,Retail,FOAMX-SG200,SHOWER GEL 200ML,SHOWER GEL,SHOWER GEL,PERSONAL CARE,255,165.75,221.85,2.7,7.2,205.88,688.5,555.88,108.35,659.05,No,19.5,84.3
ORD000010,2024-01-17,2024-01-19,2024-01-20,Delivered,Cash,Paid,January,1,Q1,2024,2024-01,DT1015,KURINJI AGENCIES,Hosur,North,Tier 3,Loganathan Krishnan,9855067890,33FICTD1015M1Z6,50000,3,DS003,DURAI M,2W Route Common,PONGIUR NORTH,KOTHAI SUPER STORE,Grocery,Retail,BLOSOM-TLC200,BODY TALC 200G,BODY TALC,BODY TALC,PERSONAL CARE,155,100.75,134.85,31.5,0.7,133.91,4882.5,4218.16,1044.53,4854.38,No,24.8,86.9
